,Space_GI,Affloss_Lasswell,Socrel_GI_neg_3,Space_GI_neg_3,Affloss_Lasswell_neg_3,attention_nouns,Virtue_GI_nouns,Affloss_Lasswell_nouns,Work_GI_verbs,Numb_GI_adverbs,Ord_GI_adverbs,Pos_GI_adverbs,Timespc_Lasswell_adverbs,attention_nouns_neg_3,polarity_nouns_neg_3,Causal_GI_nouns_neg_3,Affloss_Lasswell_nouns_neg_3,Numb_GI_adverbs_neg_3,Ord_GI_adverbs_neg_3,Pos_GI_adverbs_neg_3,outcome
25,0.0440251572327044,0.0,0.0279720279720279,0.0489510489510489,0.0,0.0788260869565217,0.0350877192982456,0.0,0.1923076923076923,0.0,0.0,0.0,0.0714285714285714,0.0725909090909091,0.0577727272727272,0.0,0.0,0.0,0.0,0.0,False
26,0.0,0.0,0.08,0.0,0.0,0.1306666666666666,0.2,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0605,0.045,0.0,0.0,0.0,0.0,0.0,False
27,0.06875,0.0,0.0384615384615384,0.0705128205128205,0.0,0.1963333333333333,0.0454545454545454,0.0,0.0714285714285714,0.125,0.125,0.125,0.25,0.2008571428571428,0.0797857142857142,0.0,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,True
28,0.037037037037037,0.0,0.037037037037037,0.037037037037037,0.0,0.045,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.045,0.0915,0.0,0.0,0.0,0.0,0.0,False
29,0.0670731707317073,0.0,0.0197368421052631,0.0657894736842105,0.0,0.1400555555555555,0.0204081632653061,0.0,0.2564102564102564,0.0,0.0,0.0,0.1428571428571428,0.1393529411764706,0.0718235294117647,0.0208333333333333,0.0,0.0,0.0,0.0,False
30,0.0348837209302325,0.0,0.0875,0.0375,0.0,0.1797727272727272,0.1320754716981132,0.0,0.054054054054054,0.0,0.0,0.0,0.0833333333333333,0.1760454545454545,0.1157272727272727,0.0,0.0,0.0,0.0,0.0,True
31,0.0588235294117647,0.0,0.1627906976744186,0.0697674418604651,0.0,0.43,0.0,0.0,0.4705882352941176,0.0,0.0,0.0,0.0,0.43,0.29,0.0,0.0,0.0,0.0,0.0,True
32,0.032258064516129,0.0,0.0340136054421768,0.0340136054421768,0.0,0.2190588235294117,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.25,0.2190588235294117,0.1657647058823529,0.0333333333333333,0.0,0.0,0.0,0.0,True
33,0.0,0.0,0.1351351351351351,0.0,0.0,0.0440833333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0440833333333333,-0.174,0.0769230769230769,0.0,0.5,0.5,0.5,True
34,0.0180722891566265,0.0,0.1,0.02,0.0,0.2594666666666667,0.2545454545454545,0.0,0.1578947368421052,0.0,0.0,0.0,0.0,0.38276,0.2597199999999999,0.0588235294117647,0.0,0.0,0.0,0.0,False
35,0.0166666666666666,0.0,0.05,0.0166666666666666,0.0,-0.1303333333333333,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,-0.1303333333333333,-0.0294999999999999,0.0,0.0,0.0,0.0,0.0,True
36,0.0307692307692307,0.0,0.0327868852459016,0.0327868852459016,0.0,0.0872999999999999,0.0588235294117647,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0872999999999999,0.0520999999999999,0.0,0.0,0.0,0.0,0.0,True
37,0.0416666666666666,0.0,0.0151515151515151,0.0303030303030303,0.0,0.0085833333333333,0.0434782608695652,0.0,0.09375,0.0,0.0,0.0,0.0,0.0085833333333333,0.0324166666666666,0.0,0.0,0.0,0.0,0.0,False
38,0.0545454545454545,0.0,0.0106382978723404,0.0638297872340425,0.0,0.0155384615384615,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0155384615384615,-0.0233076923076923,0.09375,0.0,0.0,0.0,0.0,True
