filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
1250.txt,112,62,57,38,55,24,0.6129032258064516,0.5089285714285714,0.5535714285714286,5.858449331643022,0.8746710548459472,0.06115940020415497,0.7593650793650797,0.73,0.7712530277264906,52.089385474860336,54.1330329153605,55.714285714285715
1907.txt,203,89,98,58,105,31,0.651685393258427,0.4827586206896552,0.43842364532019706,6.2465754164580085,0.8448075206264909,0.06725579451649139,0.6820779220779221,0.6799999999999999,0.728252641173312,44.50381330079317,38.176319176319176,38.34975369458128
539.txt,249,115,122,77,127,38,0.6695652173913044,0.4899598393574297,0.46184738955823296,7.287828881031496,0.8599859785669492,0.05843170836464495,0.7524000000000006,0.7249999999999999,0.7591062504515357,65.11942160892542,51.873000697656394,53.53413654618474
1913.txt,26,19,11,9,15,10,0.47368421052631576,0.4230769230769231,0.7307692307692307,3.7262065676254967,0.9037298142658737,0.06803674844631187,0.7307692307692307,0.7307692307692307,0.0,26.52,18.833333333333336,25.807692307692307
277.txt,133,48,53,27,80,21,0.5625,0.39849624060150374,0.3609022556390977,4.162127853715775,0.7916001310760303,0.09812355293756572,0.5464285714285714,0.54,0.5973759616138326,28.292015411186398,26.61154244306418,30.218045112781954
511.txt,144,57,74,34,70,23,0.5964912280701754,0.5138888888888888,0.3958333333333333,4.75,0.8135217611050868,0.08639801681963433,0.5941052631578942,0.61,0.6555990109767413,33.07226708706616,30.04201680672269,32.97222222222222
1085.txt,115,59,52,32,63,27,0.5423728813559322,0.45217391304347826,0.5130434782608696,5.501778368617852,0.8593457890644799,0.06825562107222088,0.6663636363636365,0.65,0.693473759574199,45.03229142623795,35.97099099099099,40.31304347826087
1091.txt,131,81,67,51,64,30,0.6296296296296297,0.5114503816793893,0.6183206106870229,7.077002858954407,0.9013889825052159,0.04657457818330366,0.7690243902439026,0.75,0.7786079899818431,60.53787878787878,56.00323663390074,61.969465648854964
505.txt,17,13,9,8,8,5,0.6153846153846154,0.5294117647058824,0.7647058823529411,3.1529631254723287,0.9053145831190337,0.07695192806126844,0.7647058823529411,0.7647058823529411,0.0,20.229999999999997,0.0,18.6875
263.txt,31,24,12,12,19,12,0.5,0.3870967741935484,0.7741935483870968,4.310527248642598,0.9254704927837457,0.049974132716685174,0.7741935483870968,0.7741935483870968,0.0,38.440000000000005,0.0,34.0
288.txt,91,62,39,33,52,29,0.532258064516129,0.42857142857142855,0.6813186813186813,6.499365987675894,0.9149330363941972,0.043422749483110486,0.7876190476190481,0.8,0.8098578177121734,78.07386363636363,74.05357142857143,59.26373626373626
